Iteration, Generator, Distribution, Source, Time per output, Relative time
2, Fast Dice Roller, d6, mt19937, 5.17751e-09s, 0.685197
2, FLDR, d6, mt19937, 9.64574e-09s, 1.27653
2, ALDR, d6, mt19937, 9.12578e-09s, 1.20771
2, Huber-Vargas, d6, mt19937, 6.06389e-09s, 0.802501
2, Lemire, d6, mt19937, 2.83901e-09s, 0.375717
2, ES32, Bernoulli, mt19937, 4.42566e-09s, 1.03873
2, ES32 optimized, Bernoulli, mt19937, 2.29226e-09s, 0.538009
2, FLDR, Bernoulli, mt19937, 1.67616e-08s, 3.93405
2, ALDR, Bernoulli, mt19937, 6.05936e-09s, 1.42217
2, Lemire+alias, Bernoulli, mt19937, 2.82437e-09s, 0.662898
2, ES32, Weighted, mt19937, 1.17793e-08s, 0.974491
2, FLDR, Weighted, mt19937, 2.08669e-08s, 1.7263
2, ALDR, Weighted, mt19937, 8.28886e-09s, 0.685733
2, Lemire+alias, Weighted, mt19937, 2.73847e-09s, 0.226552
2, ES32, d6, xoshiro128, 7.59084e-09s, 1.00512
2, ES32 optimized, cd6, xoshiro128, 3.42107e-09s, 0.452991
2, ES64, d6, xoshiro128, 9.90167e-09s, 1.3111
2, ES64 optimized, d6, xoshiro128, 3.85813e-09s, 0.510863
2, VN, d6, xoshiro128, 5.64002e-09s, 0.746806
2, Fast Dice Roller, d6, xoshiro128, 6.49296e-09s, 0.859745
2, FLDR, d6, xoshiro128, 1.19858e-08s, 1.58706
2, ALDR, d6, xoshiro128, 1.05106e-08s, 1.39173
2, Huber-Vargas, d6, xoshiro128, 7.92347e-09s, 1.04916
2, Lemire, d6, xoshiro128, 1.95149e-09s, 0.2584
2, ES32, Bernoulli, xoshiro128, 4.21368e-09s, 0.985308
2, ES32 optimized, Bernoulli, xoshiro128, 2.30435e-09s, 0.538838
2, FLDR, Bernoulli, xoshiro128, 1.64262e-08s, 3.84103
2, ALDR, Bernoulli, xoshiro128, 1.28168e-08s, 2.99701
2, Lemire+alias, Bernoulli, xoshiro128, 4.54556e-09s, 1.06291
2, ES32, Weighted, xoshiro128, 1.24976e-08s, 1.06443
2, FLDR, Weighted, xoshiro128, 1.49902e-08s, 1.27672
2, ALDR, Weighted, xoshiro128, 1.30218e-08s, 1.10907
2, Lemire+alias, Weighted, xoshiro128, 2.06442e-09s, 0.175827
