Iteration, Generator, Distribution, Source, Time per output, Relative time
2, ES32, cd6, mt_19937, 3.64188e-09s, 1.16068
2, ES32, vd6, mt_19937, 3.16033e-09s, 1.00721
2, ES64, d6, mt_19937, 2.92733e-09s, 0.932953
2, ES64, cd6, mt_19937, 8.14779e-09s, 2.59673
2, ES64, vd6, mt_19937, 4.00983e-09s, 1.27795
2, Von Neumann, vd6, mt_19937, 4.79463e-09s, 1.52807
2, Fast Dice Roller, vd6, mt_19937, 4.47254e-09s, 1.42542
2, FLDR, vd6, mt_19937, 7.95429e-09s, 2.53506
2, ALDR, wd6, mt_19937, 8.05217e-09s, 2.56626
2, Huber-Vargas, vd6, mt_19937, 8.29642e-09s, 2.6441
2, Lemire, vd6, mt_19937, 3.539e-09s, 1.12789
2, ES32, Const Bernoulli{1/99}, mt_19937, 2.98546e-09s, 0.757899
2, ES32, Runtime Bernoulli{1/99}, mt_19937, 3.88558e-09s, 0.986408
2, ES32, Weighted{1/99}, mt_19937, 6.42538e-09s, 1.63117
2, FLDR, B{1/99}, mt_19937, 1.15395e-08s, 2.92946
2, ALDR, B{1/99}, mt_19937, 8.80154e-09s, 2.23439
2, ES32, Weighted{12345}, mt_19937, 1.01063e-08s, 1.00343
2, FLDR, W{12345}, mt_19937, 1.00764e-08s, 1.00046
2, ALDR, W12345, mt_19937, 9.60896e-09s, 0.954047
2, ES32, d6, xoshiro128, 3.30458e-09s, 1.00131
2, ES32, cd6, xoshiro128, 2.38583e-09s, 0.722925
2, ES32, vd6, xoshiro128, 3.1935e-09s, 0.967654
2, ES64, d6, xoshiro128, 4.00817e-09s, 1.2145
2, ES64, cd6, xoshiro128, 2.86225e-09s, 0.867283
2, ES64, vd6, xoshiro128, 3.99471e-09s, 1.21043
2, Von Neumann, vd6, xoshiro128, 5.56638e-09s, 1.68665
2, Fast Dice Roller, vd6, xoshiro128, 5.45192e-09s, 1.65197
2, FLDR, vd6, xoshiro128, 8.99983e-09s, 2.72702
2, ALDR, wd6, xoshiro128, 7.36667e-09s, 2.23215
2, Huber-Vargas, vd6, xoshiro128, 7.64954e-09s, 2.31787
2, Lemire, vd6, xoshiro128, 1.37287e-09s, 0.415991
2, ES32, Const Bernoulli{1/99}, xoshiro128, 2.90267e-09s, 0.754029
2, ES32, Runtime Bernoulli{1/99}, xoshiro128, 3.82675e-09s, 0.994079
2, ES32, Weighted{1/99}, xoshiro128, 6.90529e-09s, 1.7938
2, FLDR, B{1/99}, xoshiro128, 1.10802e-08s, 2.87832
2, ALDR, B{1/99}, xoshiro128, 8.43892e-09s, 2.19219
2, ES32, Weighted{12345}, xoshiro128, 1.03863e-08s, 0.993967
2, FLDR, W{12345}, xoshiro128, 9.46063e-09s, 0.905381
2, ALDR, W12345, xoshiro128, 9.03487e-09s, 0.864637
